,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood
145,Space Song,Depression Cherry,Beach House,2015-08-28,320466,80,0.508,0.229,0.508,0.792,0.124,0.145,-7.311,0.0297,147.067,4,1
146,we fell in love in october,we fell in love in october / forget her,girl in red,2018-11-21,184153,85,0.566,0.113,0.566,0.366,0.181,0.155,-12.808,0.028,129.959,4,1
147,Michelle,Party Favors,Sir Chloe,2020-10-23,214087,75,0.366,0.0781,0.366,0.439,1.92e-05,0.108,-5.238,0.0298,115.94,3,1
148,"Female Energy, Part 2",WILLOW,WILLOW,2019-07-19,173920,70,0.539,0.0143,0.539,0.39,0.000125,0.174,-8.341,0.0293,119.791,3,1
149,Francis Forever,Bury Me At Makeout Creek,Mitski,2014-11-11,149680,73,0.535,0.00262,0.535,0.448,1.94e-05,0.115,-9.167,0.0279,101.986,4,1
150,Souvenir,boygenius,Julien Baker,2018-10-26,212467,0,0.598,0.732,0.598,0.3,0.502,0.0946,-11.044,0.0264,109.034,4,1
151,Brooklyn Baby,Ultraviolence (Deluxe),Lana Del Rey,2014-01-01,351640,77,0.404,0.542,0.404,0.664,0.00402,0.11,-6.698,0.0407,107.747,4,1
152,No Surprises,OK Computer,Radiohead,1997-05-28,229120,73,0.255,0.0577,0.255,0.393,0.00361,0.113,-10.654,0.0278,76.426,4,1
153,i saw you in a dream,Good At Falling,The Japanese House,2019-03-01,200304,61,0.26,0.837,0.26,0.261,0.0,0.249,-9.651,0.0358,138.2,3,1
154,Are You Bored Yet? (feat. Clairo),Nothing Happens,Wallows,2019-03-22,178000,82,0.682,0.156,0.682,0.683,2.32e-05,0.273,-6.444,0.0287,120.023,4,1
155,Fade Into You,So Tonight That I Might See,Mazzy Star,1993-10-05,295600,74,0.42,0.245,0.42,0.33,0.000679,0.0677,-13.925,0.0275,157.143,3,1
156,i was all over her,melanchole,salvia palth,2013-01-01,161462,76,0.529,0.788,0.529,0.353,0.853,0.116,-12.835,0.0292,104.557,4,1
157,Sedona,Party Favors,Sir Chloe,2020-10-23,183600,58,0.539,0.171,0.539,0.548,0.0,0.126,-5.41,0.0288,75.001,4,1
158,I Wish I Never Met You,Lovers Fevers,Babygirl,2018-08-10,211744,54,0.82,0.281,0.82,0.494,0.0358,0.154,-9.151,0.0309,109.956,4,1
159,Your Best American Girl,Puberty 2,Mitski,2016-06-17,212183,43,0.36,0.0159,0.36,0.257,0.00512,0.226,-9.655,0.0315,76.972,4,1
160,I Love You So,Songs for Dads,The Walters,2014-11-28,160253,84,0.578,0.65,0.578,0.669,0.0,0.13,-4.898,0.0377,75.995,4,1
161,Dealer,Blue Banisters,Lana Del Rey,2021-10-22,274293,79,0.602,0.318,0.602,0.59,0.000166,0.104,-6.346,0.0279,130.08,4,1
162,at least i'm pretty,at least i'm pretty,Harriette,2021-04-19,106800,57,0.86,0.541,0.86,0.422,0.00449,0.139,-9.785,0.0296,99.958,4,1
163,Garden Song,Punisher,Phoebe Bridgers,2020-06-18,219681,43,0.528,0.864,0.528,0.273,0.00617,0.111,-16.623,0.132,98.311,4,1
